ticker,bar_start_utc,observed_at_utc,open,high,low,close,volume
1629.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,276.8999938964844,277.20001220703125,276.1000061035156,276.29998779296875,9390
1629.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,276.5,277.29998779296875,276.29998779296875,277.29998779296875,10080
1629.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,276.8999938964844,277.5,276.70001220703125,277.1000061035156,4550
1629.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,277.29998779296875,277.5,276.79998779296875,276.8999938964844,7980
1629.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,277.0,277.79998779296875,276.79998779296875,277.6000061035156,5380
1630.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,35920.0,36180.0,35730.0,36170.0,21
1630.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,36250.0,36250.0,36250.0,36250.0,0
1630.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,36040.0,36040.0,36040.0,36040.0,53
1630.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,36080.0,36080.0,36080.0,36080.0,10
1630.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,36170.0,36170.0,36170.0,36170.0,1
1631.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,41320.0,41320.0,40700.0,40850.0,64
1631.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,41020.0,41040.0,40800.0,40860.0,3
1631.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,40800.0,40800.0,40660.0,40660.0,64
1631.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,40690.0,40790.0,40640.0,40760.0,1643
1631.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,40950.0,40950.0,40950.0,40950.0,1
1631.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,40880.0,40940.0,40880.0,40920.0,156
1631.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,40870.0,40890.0,40760.0,40890.0,34
1632.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,44550.0,44550.0,43430.0,43790.0,1532
1632.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,43720.0,43720.0,43410.0,43410.0,11
1632.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,43360.0,43410.0,43290.0,43320.0,24
1632.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,43320.0,43440.0,43320.0,43440.0,6
1632.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,43420.0,43490.0,43420.0,43490.0,27
1632.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,43420.0,43460.0,43390.0,43390.0,20
1632.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,43350.0,43350.0,43350.0,43350.0,11
1633.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,49250.0,49250.0,48470.0,48470.0,0
1633.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,48350.0,48350.0,48350.0,48350.0,1
1633.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,48510.0,48510.0,48510.0,48510.0,1
